A0	241	241	241
B0	227	227	227
C0	200	200	200
D0	173	173	173
E0	147	147	147
F0	122	121	121
G0	96	96	96
H0	72	71	72
I0	49	49	49
J0	38	38	38
B1	240	223	223
C1	250	183	183
D1	237	149	152
E1	235	106	118
F1	218	63	92
G1	188	21	71
H1	139	22	55
I1	97	14	46
B2	241	223	221
C2	252	183	177
D2	239	149	144
E2	236	106	105
F2	219	65	73
G2	188	26	51
H2	139	24	43
I2	98	14	37
B3	242	223	219
C3	252	183	169
D3	253	143	123
E3	236	108	88
F3	218	68	53
G3	186	33	31
H3	148	0	22
I3	98	16	28
B4	243	223	216
C4	252	184	160
D4	251	145	107
E4	244	104	47
F4	216	72	1
G4	178	50	1
H4	136	34	16
I4	87	30	26
B5	244	223	213
C5	251	185	151
D5	247	149	94
E5	236	111	0
F5	198	90	0
G5	158	70	16
H5	121	50	13
I5	76	38	29
B6	244	223	208
C6	247	188	143
D6	255	148	22
E6	219	123	20
F6	185	99	1
G6	145	79	27
H6	109	59	24
I6	74	40	23
B7	244	224	204
C7	254	187	112
D7	242	154	0
E7	208	130	0
F7	174	106	0
G7	139	83	13
H7	104	62	16
I7	71	42	16
B8	242	225	200
C8	255	188	66
D8	229	161	0
E8	197	136	0
F8	164	111	0
G8	127	89	32
H8	99	65	8
I8	60	46	33
B9	249	225	170
C9	248	192	0
D9	217	167	0
E9	186	141	0
F9	154	116	13
G9	121	92	26
H9	88	69	31
I9	58	47	32
B10	248	227	140
C10	233	199	0
D10	204	172	1
E10	175	145	1
F10	146	119	1
G10	115	94	20
H10	84	70	29
I10	55	48	31
B11	242	230	138
C11	222	202	0
D11	193	175	0
E11	165	149	0
F11	137	123	1
G11	109	97	17
H11	80	72	28
I11	53	49	32
B12	236	231	138
C12	212	206	0
D12	184	179	0
E12	156	152	0
F12	129	125	0
G12	102	99	17
H12	75	73	29
I12	51	50	33
B13	227	234	140
C13	196	210	0
D13	170	182	0
E13	143	156	0
F13	118	128	0
G13	93	101	23
H13	69	75	31
I13	48	50	35
B14	221	234	170
C14	181	213	67
D14	152	187	1
E14	127	160	0
F14	104	132	23
G14	83	104	32
H14	63	76	36
I14	46	51	37
B15	217	232	201
C15	144	218	91
D15	128	191	70
E15	91	166	0
F15	73	137	9
G15	57	109	19
H15	45	80	26
I15	33	54	26
B16	211	233	206
C16	145	218	135
D16	102	194	95
E16	45	170	53
F16	0	142	32
G16	33	111	41
H16	31	82	38
I16	27	55	32
B17	206	234	212
C17	123	220	154
D17	66	196	120
E17	20	169	99
F17	0	140	82
G17	0	111	66
H17	0	83	50
I17	21	55	36
B18	204	234	216
C18	134	217	176
D18	82	193	146
E18	1	168	119
F18	0	139	98
G18	0	110	78
H18	0	83	58
I18	0	57	39
B19	202	234	219
C19	129	217	183
D19	73	194	154
E19	1	168	129
F19	0	138	107
G19	0	110	85
H19	0	82	63
I19	0	57	43
B20	201	234	222
C20	125	217	190
D20	64	194	162
E20	1	167	138
F20	1	138	114
G20	0	110	91
H20	0	82	68
I20	0	56	47
B21	200	234	224
C21	122	217	195
D21	53	194	170
E21	1	166	146
F21	0	137	121
G21	0	109	97
H21	0	81	73
I21	3	56	50
B22	200	234	227
C22	150	212	202
D22	42	193	180
E22	0	165	155
F22	1	136	130
G22	0	108	104
H22	0	81	79
I22	0	55	55
B23	201	234	230
C23	140	211	207
D23	94	188	185
E23	0	164	164
F23	0	136	136
G23	0	107	110
H23	0	80	83
I23	0	55	58
B24	202	233	233
C24	150	211	212
D24	94	188	192
E24	0	163	172
F24	0	135	144
G24	0	107	115
H24	0	80	88
I24	0	55	62
B25	205	232	235
C25	151	210	216
D25	96	187	199
E25	0	162	180
F25	0	134	151
G25	1	106	121
H25	0	79	92
I25	0	54	65
B26	206	229	234
C26	154	206	218
D26	102	183	203
E26	1	159	189
F26	1	131	157
G26	1	103	126
H26	0	78	97
I26	0	54	68
B27	211	230	237
C27	162	207	223
D27	113	183	209
E27	45	159	196
F27	0	132	168
G27	0	104	135
H27	0	78	103
I27	0	53	73
B28	214	229	237
C28	169	205	225
D28	98	183	226
E28	1	158	213
F28	0	130	178
G28	0	103	143
H28	0	77	109
I28	0	52	77
B29	218	228	237
C29	160	205	242
D29	119	179	228
E29	68	154	216
F29	0	127	193
G29	0	101	155
H29	0	75	119
I29	0	51	85
B30	220	228	237
C30	171	202	244
D30	135	176	230
E30	95	150	216
F30	37	124	204
G30	32	96	163
H30	0	72	132
I30	0	49	95
B31	224	227	237
C31	192	199	226
D31	160	172	213
E31	132	144	201
F31	101	117	188
G31	71	89	175
H31	50	61	149
I31	36	40	111
B32	227	226	236
C32	198	197	225
D32	172	169	212
E32	146	140	198
F32	123	111	184
G32	99	84	158
H32	78	58	134
I32	55	38	95
B33	228	225	236
C33	204	196	223
D33	181	166	209
E33	159	137	195
F33	138	107	179
G33	114	80	152
H33	93	52	127
I33	65	34	90
B34	230	225	235
C34	208	195	221
D34	118	164	205
E34	168	134	189
F34	149	103	173
G34	124	76	146
H34	102	47	122
I34	72	31	86
B35	233	224	232
C35	225	188	224
D35	207	157	207
E35	188	125	190
F35	161	99	164
G35	134	72	138
H35	110	43	115
I35	70	36	73
B36	235	224	231
C36	232	186	218
D36	215	154	199
E36	197	122	180
